,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
36,138.42241888046266,22.066661012141388,23.391134214401244,2.850932750402758,50,3,1,poly,0.001,"{'C': 50, 'degree': 3, 'gamma': 1, 'kernel': 'poly', 'tol': 0.001}",0.7882441597588545,0.7931641115858256,0.7884615384615384,0.7874481197333669,0.7955203221341387,0.7905667018655403,0.0031879748573058362,21,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
37,161.05006723403932,19.155374712045408,25.572820377349853,2.3709701945499284,50,3,1,poly,1e-05,"{'C': 50, 'degree': 3, 'gamma': 1, 'kernel': 'poly', 'tol': 1e-05}",0.7881185631750817,0.7931641115858256,0.7884615384615384,0.7874481197333669,0.7955203221341387,0.7905415598129432,0.003206633168220439,24,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
38,205.44671392440796,33.39477845592203,30.0009756565094,4.58364037928524,50,3,1,rbf,0.001,"{'C': 50, 'degree': 3, 'gamma': 1, 'kernel': 'rbf', 'tol': 0.001}",0.7892489324290379,0.7944207087207841,0.7898441427853192,0.7868192680166017,0.7969044922612306,0.7914466737064414,0.003671855207703451,7,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
39,198.2794951438904,30.71910511240584,25.960281467437746,3.7395934647392868,50,3,1,rbf,1e-05,"{'C': 50, 'degree': 3, 'gamma': 1, 'kernel': 'rbf', 'tol': 1e-05}",0.7892489324290379,0.7944207087207841,0.7898441427853192,0.7868192680166017,0.7969044922612306,0.7914466737064414,0.003671855207703451,7,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
40,68.61828804016113,8.72166271420807,20.84140682220459,2.3208121221725517,50,3,1,sigmoid,0.001,"{'C': 50, 'degree': 3, 'gamma': 1, 'kernel': 'sigmoid', 'tol': 0.001}",0.6873901029891987,0.6886152299572756,0.6833836098541981,0.6888441705445856,0.6895683905876432,0.6875597123749183,0.0022029842753389494,61,0.703602414183327,0.7004651747548404,0.7034697341127664,0.7067529774062785,0.7002230810318283,0.7029026762978081,0.002398234803402523
41,64.89107298851013,11.275293198209056,18.48118653297424,2.5922303841724954,50,3,1,sigmoid,1e-05,"{'C': 50, 'degree': 3, 'gamma': 1, 'kernel': 'sigmoid', 'tol': 1e-05}",0.6851293644812861,0.6881125911032923,0.6825037707390649,0.6858256823041127,0.6900717251793129,0.6863277517976568,0.002588626947980486,64,0.7034766754683767,0.70027659039477,0.7049468854107738,0.7065015869025547,0.7013856159864266,0.7033174708325803,0.002271473095346848
42,240.4988657474518,30.5354425340234,29.044165086746215,3.1591992729663714,50,5,1,poly,0.001,"{'C': 50, 'degree': 5, 'gamma': 1, 'kernel': 'poly', 'tol': 0.001}",0.7823411203215273,0.7896456396079417,0.7825540472599296,0.7815369135957742,0.7904869762174406,0.7853120128727309,0.0039045650646959,31,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
43,218.4564534664154,34.68894202475131,26.00785026550293,3.427632627860935,50,5,1,poly,1e-05,"{'C': 50, 'degree': 5, 'gamma': 1, 'kernel': 'poly', 'tol': 1e-05}",0.7823411203215273,0.7897712993214375,0.7825540472599296,0.7815369135957742,0.7904869762174406,0.7853371549253281,0.003932692221289046,27,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
44,194.40489754676818,26.288678619379635,29.834588766098022,4.8188985240603905,50,5,1,rbf,0.001,"{'C': 50, 'degree': 5, 'gamma': 1, 'kernel': 'rbf', 'tol': 0.001}",0.7892489324290379,0.7944207087207841,0.7898441427853192,0.7868192680166017,0.7969044922612306,0.7914466737064414,0.003671855207703451,7,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
45,230.09016833305358,23.16413684476298,31.14174814224243,3.7127141159551793,50,5,1,rbf,1e-05,"{'C': 50, 'degree': 5, 'gamma': 1, 'kernel': 'rbf', 'tol': 1e-05}",0.7892489324290379,0.7944207087207841,0.7898441427853192,0.7868192680166017,0.7969044922612306,0.7914466737064414,0.003671855207703451,7,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
46,61.423732709884646,8.452641804089101,20.797579097747803,2.3702949413348007,50,5,1,sigmoid,0.001,"{'C': 50, 'degree': 5, 'gamma': 1, 'kernel': 'sigmoid', 'tol': 0.001}",0.6873901029891987,0.6886152299572756,0.6833836098541981,0.6888441705445856,0.6895683905876432,0.6875597123749183,0.0022029842753389494,61,0.703602414183327,0.7004651747548404,0.7034697341127664,0.7067529774062785,0.7002230810318283,0.7029026762978081,0.002398234803402523
47,60.93988165855408,11.861689240852952,18.557450437545775,2.8618451009743073,50,5,1,sigmoid,1e-05,"{'C': 50, 'degree': 5, 'gamma': 1, 'kernel': 'sigmoid', 'tol': 1e-05}",0.6851293644812861,0.6881125911032923,0.6825037707390649,0.6858256823041127,0.6900717251793129,0.6863277517976568,0.002588626947980486,64,0.7034766754683767,0.70027659039477,0.7049468854107738,0.7065015869025547,0.7013856159864266,0.7033174708325803,0.002271473095346848
48,430.2977509021759,76.55146948758637,30.02514853477478,3.772922400060167,50,8,1,poly,0.001,"{'C': 50, 'degree': 8, 'gamma': 1, 'kernel': 'poly', 'tol': 0.001}",0.7288369756342628,0.7387534556421211,0.7300150829562594,0.7312287762545592,0.7366301749087706,0.7330919696284005,0.0038892619081649766,47,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
