,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3,0.01142745018005371,0.0022162493609198777,7.250897789001465,0.28021799580999157,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7117558402411455,0.7127418949484795,0.7024886877828054,0.7094705068544838,0.7151126211148862,0.7103132699753608,0.00431133164987502,8,0.8070225072299761,0.8082725672617551,0.809290338801936,0.8092260314866606,0.8075219153548874,0.8082666720270432,0.0009023200691052698
4,0.009978294372558594,0.0003304000505721962,2443.0798849105836,1.2211810353323238,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6577493092187893,0.6569489821563207,0.6489441930618401,0.6508615268519683,0.6611299861582988,0.6551264645245638,0.004530400178874306,10,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
5,0.00984659194946289,0.00011354979626390626,2442.565199184418,1.523144435382355,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6375282592313489,0.6285498869062579,0.6280794369029663,0.6234435920010062,0.6396124323644142,0.6314426509780259,0.006121875108847902,14,0.7430843706777317,0.7349761126477244,0.7409328053303161,0.733871727995475,0.7442737298520125,0.739427749300652,0.004238066603657325
6,0.009997749328613281,0.0005941094510501846,7.048449182510376,0.30310899521722223,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.7342376287364983,0.7356119628047249,0.7266214177978884,0.7308514652245001,0.7336101673587517,0.7321868557349022,0.0031852965840329264,4,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
7,0.012442874908447265,0.002732170247696998,7.086991024017334,0.25284904117302825,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.7228083396131625,0.7264388037195275,0.7170688788335847,0.7200352156961388,0.72480181200453,0.7222306029064213,0.003350212850995484,6,0.7987237520432541,0.7954488307769676,0.7981017034383053,0.7974735254375765,0.7953624281270619,0.797022047964633,0.001378015598346187
8,0.009777450561523437,0.0010788338181235088,2442.652487039566,1.5321352600614895,10,1,distance,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.6608892238131123,0.6590851972857502,0.6469331322272499,0.6483461199849075,0.6640241600604001,0.6558555840498819,0.006905686570334618,9,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
9,0.009882497787475585,6.093437845393562e-05,2444.753633594513,1.1347293337787423,10,1,uniform,"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.6377794523988948,0.6315657200301583,0.6233031674208145,0.6241982140611244,0.6455266138165345,0.63247347513451,0.008387789347802098,13,0.722243178674714,0.7182863967814936,0.7180841033377333,0.7135719448197845,0.7224997643510227,0.7189370775929497,0.0032728776809145296
10,0.010474348068237304,0.0003651077260715071,7.192517709732056,0.27483383514993825,10,2,distance,"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.7425270032655111,0.7395074139230963,0.7317747611865258,0.7392780782291536,0.7415376871775513,0.7389249258309448,0.0037789730480387697,2,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
11,0.013314199447631837,0.0033053925952270294,7.197083950042725,0.23734257670460526,10,2,uniform,"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.7307209243908566,0.7293289771299322,0.7239819004524887,0.7250660294302603,0.7323518308795772,0.7282898375823402,0.0032381625921245718,5,0.7874072676977242,0.783568016092532,0.7847444842541957,0.7844954906828394,0.783737078581079,0.784790467461674,0.0013813605405173695
12,0.010012340545654298,0.00016271870824995297,2445.827048826218,2.0690353445705165,20,1,distance,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",0.6367746797287114,0.6404875596883639,0.6371292106586224,0.6224374292541819,0.6521957971561596,0.6378035902851109,0.009504311507358995,12,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
13,0.010896015167236327,0.0018124314953296343,2444.7318498134614,3.6809432424308626,20,1,uniform,"{'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",0.6152976639035418,0.6135963810002513,0.6129964806435395,0.5969060495535152,0.627029067572669,0.6131643787398803,0.009602270809912385,16,0.6753740726769772,0.6685944179029419,0.6801810296058834,0.6578261006190491,0.6753385490306972,0.6714628339671098,0.007752602115662877
14,0.008816289901733398,0.0012171833266212584,7.015551328659058,0.3672932255403586,20,2,distance,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",0.7424014066817383,0.7445338024629304,0.7413273001508296,0.7377688341089171,0.7466968667421668,0.7425453814049379,0.0030160417206641804,1,0.9997485225700994,0.9996542620065376,0.9997171412408071,0.9997800333092417,0.9996858013636221,0.9997171520980614,4.4443639623736654e-05
15,0.010651588439941406,0.0004100618524769257,7.125867319107056,0.1382369519369141,20,2,uniform,"{'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",0.7322280833961317,0.7385021362151294,0.7344142785319256,0.7297195321343227,0.7371335095004404,0.7343993563634535,0.0031911454398496075,3,0.7680435055953728,0.7634209202916772,0.7673329561883211,0.7694749080853471,0.7656706569893487,0.7667885894300134,0.002082230824611798
