,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_fit_intercept,param_multi_class,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.4913759708404541,0.45553975049645845,0.004579591751098633,0.0010333302978694108,0.01,balanced,True,multinomial,sag,0.0001,"{'C': 0.01, 'class_weight': 'balanced', 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 0.0001}",0.6043707611152976,0.6148529781352099,0.6021870286576169,0.6019368632876367,0.6085315213288033,0.6063760245386434,0.004853886139909467,31,0.6230353325789011,0.6236170480261504,0.6246149977999874,0.6188919963548377,0.6227102774373959,0.6225739304394545,0.001951521012518358
1,1.7745215892791748,0.3994851238121994,0.004717540740966797,0.0010663079976524822,0.01,balanced,True,multinomial,sag,1e-05,"{'C': 0.01, 'class_weight': 'balanced', 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 1e-05}",0.6038683747802059,0.614727318421714,0.6021870286576169,0.6023141743176958,0.6085315213288033,0.606325740433449,0.004790328011146941,32,0.6230038979001634,0.6237742016595423,0.6245521402979446,0.6187663011029758,0.6227416973010337,0.622567647652332,0.002003238716681271
2,2.2343206882476805,0.40301261230040936,0.0052432060241699215,0.001266580022561961,0.01,balanced,True,multinomial,sag,1e-06,"{'C': 0.01, 'class_weight': 'balanced', 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 1e-06}",0.6038683747802059,0.614727318421714,0.6021870286576169,0.6023141743176958,0.6085315213288033,0.606325740433449,0.004790328011146941,32,0.6230038979001634,0.6237742016595423,0.624583569048966,0.6187663011029758,0.6227416973010337,0.6225739334025363,0.0020094953219001073
3,1.221721887588501,0.2624534686910373,0.0039703369140625,0.0008842540362988189,0.01,,True,multinomial,sag,0.0001,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 0.0001}",0.4335594071841246,0.44156823322442823,0.4318753142282554,0.4424600679159854,0.43941109852774635,0.43777341982199425,0.004280346111260249,34,0.4410599773670313,0.4390558209705808,0.4418882393613678,0.4389592433145838,0.43877839570176264,0.43994833534306527,0.0012761363014867754
4,1.7847843647003174,0.42962613730048965,0.004695463180541992,0.0010084474309348741,0.01,,True,multinomial,sag,1e-05,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 1e-05}",0.4334338106003517,0.44156823322442823,0.4318753142282554,0.4424600679159854,0.4392852648798289,0.43772313571679994,0.004295893906920141,35,0.4410285426882937,0.4390558209705808,0.4418882393613678,0.43899066712754925,0.43877839570176264,0.43994833316991083,0.0012659024124536942
5,2.1715867042541506,0.6027300010539475,0.004349327087402344,0.0010487138994474056,0.01,,True,multinomial,sag,1e-06,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 1e-06}",0.4334338106003517,0.44156823322442823,0.4318753142282554,0.4424600679159854,0.4392852648798289,0.43772313571679994,0.004295893906920141,35,0.4410285426882937,0.4390558209705808,0.4418882393613678,0.43899066712754925,0.43877839570176264,0.43994833316991083,0.0012659024124536942
6,1.5831787109375,0.41311500466495027,0.004570484161376953,0.0011195247142050198,0.1,balanced,True,multinomial,sag,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 0.0001}",0.6855061542326049,0.696908771048002,0.6928104575163399,0.6884668595145265,0.6914558953064049,0.6910293156333283,0.003873825134188925,25,0.7199170124481328,0.717217752074428,0.7164183795335973,0.7172485309367439,0.7165299902598423,0.7174663330505489,0.0012720066169331508
7,1.9400740623474122,0.5312158356570602,0.0045125484466552734,0.0010479764080524633,0.1,balanced,True,multinomial,sag,1e-05,"{'C': 0.1, 'class_weight': 'balanced', 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 1e-05}",0.6855061542326049,0.696908771048002,0.6928104575163399,0.6884668595145265,0.6914558953064049,0.6910293156333283,0.003873825134188925,25,0.7199170124481328,0.717217752074428,0.7164183795335973,0.7172485309367439,0.7165299902598423,0.7174663330505489,0.0012720066169331508
8,2.2527609348297117,0.6233420118918621,0.004632902145385742,0.001161788880082126,0.1,balanced,True,multinomial,sag,1e-06,"{'C': 0.1, 'class_weight': 'balanced', 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 1e-06}",0.6855061542326049,0.696908771048002,0.6928104575163399,0.6884668595145265,0.6914558953064049,0.6910293156333283,0.003873825134188925,25,0.7199170124481328,0.717217752074428,0.7164183795335973,0.7172485309367439,0.7165299902598423,0.7174663330505489,0.0012720066169331508
9,1.4901186943054199,0.368842154599468,0.00455927848815918,0.0011238598743607661,0.1,,True,multinomial,sag,0.0001,"{'C': 0.1, 'class_weight': None, 'fit_intercept': True, 'multi_class': 'multinomial', 'solver': 'sag', 'tol': 0.0001}",0.6541070082893745,0.6681326966574517,0.6597536450477627,0.6658281977109798,0.6584874795520322,0.6612611253582743,0.00508471820597383,28,0.6776059348673457,0.6755720392255469,0.676535294487397,0.6765861169594318,0.6772865805762402,0.6767171932231923,0.0007036631982975945
